学校名,所在地,,种类,荣誉,首页网址,,,,数据来源：http://www.gaokaopai.com/daxue.html
宁夏工业职业学院,宁夏,银川,理工类,,http://www.ngzy.nx.edu.cn,,,,
天津城市职业学院,天津,天津,综合类,,http://www.tjcsxy.cn/,,,,
天津医学高等专科学校,天津,天津,医药类,,http://www.tjyzh.cn/,,,,
天津公安警官职业学院,天津,天津,政法类,,http://www.tjjingyuan.cn/,,,,
内蒙古工业职业学院,内蒙古,呼和浩特,理工类,,http://www.nmgongye.cn,,,,
天津交通职业学院,天津,天津,理工类,,http://www.tjtvc.com/,,,,
天津中德职业技术学院,天津,天津,理工类,,http://www.zdtj.cn/,,,,
内蒙古商贸职业学院,内蒙古,呼和浩特,财经类,,http://www.imvcc.com/,,,,
内蒙古化工职业学院,内蒙古,呼和浩特,理工类,,http://www.hgzyxy.com.cn/,,,,
兴安职业技术学院,内蒙古,古乌兰浩特,师范类,,http://www.nmxzy.cn/,,,,
内江职业技术学院,四川,内江,综合类,,http://www.njvtc.cn/,,,,
云南科技信息职业学院,云南,昆明,理工类,,http://www.ynkexin.cn/,,,,
云南现代职业技术学院,云南,昆明,综合类,,http://www.ynxd.net.cn/,,,,
大连航运职业技术学院,辽宁,大连,理工类,,http://www.dlsc.net.cn/,,,,
云南热带作物职业学院,云南,普洱,农林类,,http://www.ynry.cn/,,,,
云南旅游职业学院,云南,昆明,财经类,,http://www.ynctv.com/,,,,
云南新兴职业学院,云南,昆明,综合类,,http://http//www.ynxzy.com,,,,
云南外事外语职业学院,云南,昆明,语言类,,http://www.fafl.cn/,,,,
大连职业技术学院,辽宁,大连,综合类,,http://www.dlvtc.edu.cn,,,,
大连翻译职业学院,辽宁,大连,语言类,,http://www.dltcedu.org/,,,,
云南三鑫职业技术学院,云南,文山,理工类,,http://www.ynsxzy.com/,,,,
大连汽车职业技术学院,辽宁,大连,理工类,,http://www.dlqcxy.net/,,,,
大连枫叶职业技术学院,辽宁,大连,理工类,,http://www.dlxgjy.com/,,,,
大庆医学高等专科学校,黑龙江,大庆,医药类,,http://dqyz.petrodaqing.com/,,,,
大兴安岭职业学院,黑龙江,加格达奇,综合类,,http://www.dxalu.com/,,,,
四川长江职业学院,四川,成都,综合类,,http://www.sccvc.com/,,,,
四川财经职业学院,四川,成都,财经类,,http://www.scpcfe.cn/tabid/40/Default.aspx,,,,
四川艺术职业学院,四川,成都,艺术类,,http://www.scapi.cn/,,,,
四川管理职业学院,四川,成都,财经类,,http://www.scmpi.cn/,,,,
四川科技职业学院,四川,成都,综合类,,http://scstc.cn/,,,,
四川电力职业技术学院,四川,成都,理工类,,http://www.kc.sc.sgcc.com.cn/www/default.asp,,,,
四川现代职业学院,四川,成都,财经类,,http://www.scmvc.cn/,,,,
四川汽车职业技术学院,四川,绵阳,医药类,,http://www.scavtc.com/,,,,
四川文化传媒职业学院,四川,成都,综合类,,http://www.svccc.net/,,,,
四川水利职业技术学院,四川,都江堰,理工类,,http://www.swcvc.net.cn/,,,,
四川希望汽车职业学院,四川,资阳,理工类,,http://qicheedu.com/,,,,
四川化工职业技术学院,四川,泸州,理工类,,http://sccc.edu.cn/index.asp,,,,
潇湘职业学院,湖南,娄底,综合类,,http://www.hnxxc.com/,,,,
四川信息职业技术学院,四川,广元,理工类,,http://www.scitc.com.cn/,,,,
吉林司法警官职业学院,吉林,长春,政法类,,http://www.jlsfjy.cn/,,,,
合肥职业技术学院,安徽,巢湖,综合类,,http://www1.chzy.org/,,,,
厦门海洋职业技术学院,福建,厦门,农林类,,http://www.xmoc.cn/,,,,
厦门安防科技职业学院,福建,厦门,理工类,,http://www.xmafkj.com/,,,,
厦门城市职业学院,福建,厦门,综合类,,http://www.xmcu.cn/,,,,
厦门南洋职业学院,福建,厦门,综合类,,http://www.ny2000.com/,,,,
厦门兴才职业技术学院,福建,厦门,综合类,,http://www.xmxc.com/,,,,
南阳医学高等专科学校,河南,南阳,医药类,,http://www.nymc.cn/,,,,
北京京北职业技术学院,北京,北京,理工类,,http://www.jbzy.com.cn/,,,,
内蒙古经贸外语职业学院,内蒙古,呼和浩特,语言类,,http://www.nmgjwy.com/,,,,
内蒙古建筑职业技术学院,内蒙古,呼和浩特,理工类,,http://www.imaa.edu.cn/structure/index.htm,,,,
内蒙古北方职业技术学院,内蒙古,呼和浩特,综合类,,http://www.nmbfxy.com,,,,
六安职业技术学院,安徽,六安,理工类,,http://www.lvtc.edu.cn/,,,,
克拉玛依职业技术学院,新疆,克拉玛依,理工类,,http://www.kzjsxy.net/,,,,
信阳职业技术学院,河南,信阳,师范类,,http://www.xyvtc.edu.cn/,,,,
伊春职业学院,黑龙江,伊春,综合类,,http://www.ycvc.com.cn/,,,,
亳州职业技术学院,安徽,亳州,理工类,,http://www.bzvtc.com/,,,,
云南锡业职业技术学院,云南,红河,理工类,,http://http：//www.ytvtc.com,,,,
云南经贸外事职业学院,云南,昆明,财经类,,http://www.ynjw.net/,,,,
云南林业职业技术学院,云南,昆明,林业类,,http://www.ynftc.cn/,,,,
云南文化艺术职业学院,云南,昆明,艺术类,,http://www.ynarts.cn/,,,,
云南城市建设职业学院,云南,昆明,综合类,,http://www.yncjxy.com/,,,,
云南商务职业学院,云南,昆明,财经类,,http://www.ynswxy.com/,,,,
九州职业技术学院,江苏,徐州,理工类,,http://www.jznu.com.cn/,,,,
乐山职业技术学院,四川,乐山,综合类,,http://www.lszyxy.com/,,,,
义乌工商职业技术学院,浙江,义乌,综合类,,http://www.ywu.cn/,,,,
郑州工程技术学院,河南,郑州,理工类,,http://www.zhzhu.edu.cn,,,,
东莞职业技术学院,广东,东莞,理工类,,http://www.dgpt.edu.cn/,,,,
廊坊职业技术学院,河北,廊坊,理工类,,http://www.lfzj.cn/,,,,
辽宁省交通高等专科学校,辽宁,沈阳,理工类,,http://www.lncc.edu.cn/index.asp,,,,
吉林城市职业技术学院,吉林,长春,综合类,,http://223.4.200.29:30018/about.aspx?id=15,,,,
北京卫生职业学院,北京,北京,理工类,,http://www.bjwszyxy.com,,,,
内蒙古美术职业学院,内蒙古,古巴彦淖尔,艺术类,,http://www.nmgmsxy.net/,,,,
景德镇陶瓷职业技术学院,江西,景德镇,理工类,,http://www.jcivt.com/,,,,
惠州卫生职业技术学院,广东,惠州,理工类,,http://www.hzwx.cn/index.aspx,,,,
河北外国语职业学院,河北,秦皇岛,语言类,,http://www.hbvcfl.com.cn,,,,
桐城师范高等专科学校,安徽,桐城,师范类,,http://www.tcsfgz.com/,,,,
泊头职业学院,河北,泊头,综合类,,http://www.btzyxy.com.cn/,,,,
保定电力职业技术学院,河北,保定,理工类,,http://www.bddy.cn/,,,,
漯河食品职业学院,河南,漯河,理工类,,http://www.lsgx.com.cn/new/,,,,
廊坊卫生职业学院,河北,廊坊,医药类,,http://www.lfwx.net/,,,,
信阳涉外职业技术学院,河南,信阳,理工类,,http://www.xyswxy.com/,,,,
广西现代职业技术学院,广西,河池,综合类,,http://www.gxxd.net.cn/new/,,,,
山西轻工职业技术学院,山西,太原,理工类,,http://www.sxqgzy.cn/,,,,
陕西工商职业学院,陕西,西安,财经类,,http://www.snbcedu.cn/,,,,
运城职业技术学院,山西,运城,理工类,,http://www.ycptu.edu.cn/,,,,
安徽矿业职业技术学院,安徽,淮北,理工类,,http://www.anhky.com/,,,,
石家庄科技职业学院,河北,石家庄,理工类,,http://www.sjzkjxy.net/,,,,
