学校名,首页网址
北京大学,http://www.pku.edu.cn/
中国人民大学,http://www.ruc.edu.cn/
清华大学,http://www.tsinghua.edu.cn/
北京交通大学,http://www.njtu.edu.cn/
北京航空航天大学,http://www.buaa.edu.cn/
北京理工大学,http://www.bit.edu.cn/
北京科技大学,http://www.ustb.edu.cn/
北京化工大学,http://www.buct.edu.cn/
北京邮电大学,http://www.bupt.edu.cn/
华北电力大学,http://www.ncepu.edu.cn/
中国石油大学北京,http://www.cup.edu.cn/()
中国矿业大学（北京）,http://www.cumtb.edu.cn/
中国地质大学（北京）,http://www.cugb.edu.cn/ 
中国农业大学,http://www.cau.edu.cn/
北京林业大学,http://www.bjfu.edu.cn/
北京中医药大学,http://www.bucm.edu.cn/
北京师范大学,http://www.bnu.edu.cn/
北京外国语大学,http://www.bfsu.edu.cn/
北京语言大学,http://www.blcu.edu.cn/
中国传媒大学,http://by.cuc.edu.cn/
中央财经大学,http://www.cufe.edu.cn/
对外经济贸易大学,http://www.uibe.edu.cn/
中国人民公安大学,http://www.cppsu.edu.cn/
中国政法大学,http://www.cupl.edu.cn/
北京体育大学,http://www.bsu.edu.cn/
中央民族大学,http://www.muc.edu.cn/
北京电子科技学院,http://www.besti.edu.cn/
北京协和医学院,http://www.pumc.edu.cn/
外交学院,http://www.cfau.edu.cn/
中华女子学院,http://www.cwu.edu.cn/
国际关系学院,http://www.uir.cn/
中国青年政治学院,http://www.cyu.edu.cn/
中国劳动关系学院,http://www.ciir.edu.cn/
中央音乐学院,http://www.ccom.edu.cn/
中央美术学院,http://www.cafa.edu.cn/
中央戏剧学院,http://web.zhongxi.cn/
北京联合大学,http://www.buu.edu.cn/home/
北京工业大学,http://www.bjut.edu.cn/
北方工业大学,http://www.ncut.edu.cn/
北京信息科技大学,http://www.bistu.edu.cn/
首都医科大学,http://www.ccmu.edu.cn/
首都师范大学,http://www.cnu.edu.cn/
北京工商大学,http://www.btbu.edu.cn/
首都经济贸易大学,http://www.cueb.edu.cn/
北京城市学院（民办）,http://www.bcu.edu.cn/
北京服装学院,http://www.bift.edu.cn/
北京印刷学院,http://www.bigc.edu.cn/
