城市,媒体名,首页网址,,,,,数据来源：http://www.360doc.com/content/12/0128/07/4310958_182232219.shtml
北京,法制晚报,http://www.fawan.com/,,,,,
,京报网(北京日报),http://www.bjd.com.cn/,,,,,
,新京报网,http://www.bjnews.com.cn/,,,,,
,京华网,http://www.jinghua.cn/,,,,,
,北京青年报,http://www.ynet.com/,,,,,
,千龙网,http://www.qianlong.com/,,,,,
,北京广播网,http://www.rbc.cn/,,,,,
,北京晨报,http://www.morningpost.com.cn/,,,,,
,北京社区报,http://www.bjsqb.net/,,,,,
,华夏时报,http://www.chinatimes.cc/,,,,,
,北京电视台,http://www.btv.com.cn/,,,,,
上海,上海热线,http://www.online.sh.cn/,,,,,
,新民网,http://www.xinmin.cn/,,,,,
,上海广播电视台,http://www.smg.cn/,,,,,
,东方早报,http://www.dfdaily.com/,,,,,
,外滩画报,http://www.bundpic.com/,,,,,
,东方网,http://www.eastday.com/,,,,,
,文新传媒,http://www.news365.com.cn/,,,,,
,新民晚报,http://xmwb.news365.com.cn/,,,,,
,文汇报,http://www.news365.com.cn/whb/index.htm,,,,,
,每日经济新闻,http://www.nbd.com.cn/,,,,,
,东方卫视,http://www.dragontv.cn/,,,,,
,解放牛网,http://www.jfdaily.com/,,,,,
,上海金融报,http://www.shfinancialnews.com/,,,,,
,上海I时代报,http://www.metrosh.com/,,,,,
天津,天津网,http://www.tianjinwe.com/,,,,,
,天津北方网,http://www.enorth.com.cn/,,,,,
,天津热线,http://www.online.tj.cn/,,,,,
,天津电视台,http://www.tjtv.com.cn/,,,,,
,今晚报,http://www.jwb.com.cn/,,,,,
重庆,华龙网,http://www.cqnews.net/,,,,,
,重庆热线,http://www.online.cq.cn/,,,,,
,重庆之窗,http://news.cqwin.com/news/index.html,,,,,
,大渝网,http://cq.qq.com/,,,,,
,重庆时报,http://cqsb.hsw.cn/,,,,,
,重庆晨网,http://www.cqcb.com/,,,,,
,经典重庆,http://www.classic023.com/,,,,,
,重庆商报,http://cqsb.cqnews.net/,,,,,
,电脑报,http://www.icpcw.com/,,,,,
广东,南方网,http://www.southcn.com/,,,,,
,奥一网(南方报业),http://www.oeeee.com/,,,,,
,广州视窗,http://www.gznet.com/,,,,,
,深圳之窗,http://www.sz.net.cn/,,,,,
,金羊网,http://www.ycwb.com/,,,,,
,南方报网,http://www.nfdaily.cn/,,,,,
,大洋网,http://www.dayoo.com/,,,,,
,新快网,http://www.xkb.com.cn/,,,,,
,深圳新闻网,http://www.sznews.com/,,,,,
,南方周末,http://www.infzm.com/,,,,,
,大华网,http://www.dahuawang.com/,,,,,
,中山网,http://www.zsnews.cn/,,,,,
,碧海银沙,http://www.yinsha.com/,,,,,
,南方电视台,http://www.tvscn.com/,,,,,
,广东电视台,http://www.gdtv.com.cn/,,,,,
,南都周刊,http://www.nbweekly.com/,,,,,
,广东新闻[英],http://www.newsgd.com/,,,,,
,珠海新闻网,http://www.zhnews.net/,,,,,
,深圳晚报,http://wb.sznews.com/,,,,,
河北,燕赵都市报,http://www.yzdsb.com.cn/,,,,,
,银河网,http://www.inhe.net/,,,,,
,石家庄新闻网,http://www.sjzdaily.com.cn/,,,,,
,河北电视台,http://www.hebtv.com/,,,,,
,长城网,http://www.hebei.com.cn/,,,,,
,河北新闻网,http://www.hebnews.cn/,,,,,
,河北青年报,http://www.hbqnb.com/,,,,,
,邯郸在线,http://www.hdol.cn/,,,,,
,河北法制网,http://www.hbfzb.com/,,,,,
,保定热线,http://www.bdinfo.net/,,,,,
,河北广播网,http://www.hebradio.com/,,,,,
,张家口新闻网,http://www.zjknews.com/,,,,,
,邯郸之窗,http://www.hdzc.net/,,,,,
山西,山西新闻网,http://www.daynews.com.cn/,,,,,
,山西青年报,http://www.sxqnb.com.cn/,,,,,
,太原新闻网,http://www.tynews.com.cn/,,,,,
,山西广播电视台,http://www.sxrtv.com/,,,,,
,三晋都市报,http://www.daynews.com.cn/sjdsb/,,,,,
,山西日报,http://epaper.daynews.com.cn/shtml/index_sxrb.shtml,,,,,
,黄河新闻网,http://www.sxgov.cn/,,,,,
,大同热线,http://www.dtrx.cn/,,,,,
,晋城在线,http://www.jconline.cn/,,,,,
内蒙古,内蒙古新闻网,http://www.nmgnews.com.cn/,,,,,
,北方新闻网,http://www.northnews.cn/,,,,,
,内蒙古电视网,http://www.nmtv.cn/,,,,,
,呼伦贝尔日报网,http://www.hlbrdaily.com.cn/,,,,,
辽宁,北国网,http://www.lnd.com.cn/,,,,,
,东北新闻网,http://www.nen.com.cn/,,,,,
,沈阳网,http://www.syd.com.cn/,,,,,
,大连海力网,http://www.hilizi.com/,,,,,
,大连新闻网,http://www.dlxww.com/,,,,,
,辽宁日报,http://epaper.lnd.com.cn/,,,,,
